date,platform,category,product_name,gmv,orders,uv,pv,refund_amount,ad_cost
2024-04-12,抖音,男装,羽绒服,3530,17,152,402,176,1976
2024-05-10,天猫,运动户外,登山包,5791,56,671,1084,426,1841
2024-06-23,拼多多,食品,茶叶礼盒,5183,41,577,1111,58,1906
2024-11-11,拼多多,食品,零食大礼包,12872,54,669,1207,102,4102
2024-07-24,京东,男装,Polo衫,6481,158,2127,4173,571,1517
2024-06-10,京东,运动户外,登山包,5127,47,558,1215,340,1654
2024-09-08,拼多多,美妆,防晒霜,9450,60,917,3143,542,5328
2024-02-10,快手,母婴,儿童玩具,1601,35,388,897,98,2003
2024-02-04,京东,女装,阔腿裤,5756,79,1241,3393,1177,4365
2024-02-11,京东,男装,商务衬衫,3150,196,3346,7104,430,1868
2024-02-05,快手,家居,收纳柜,2520,37,618,2168,129,2664
2024-11-26,京东,女装,春季连衣裙,8706,82,842,2162,917,1930
2024-12-24,天猫,家居,地毯,6968,44,459,881,150,1664
2024-06-28,京东,运动户外,登山包,6359,82,1240,2319,476,2233
2024-01-02,京东,女装,羽绒服,13825,222,3287,9293,1048,3789
2024-09-03,拼多多,数码,手机壳,10637,111,1410,5581,382,4244
2024-05-23,抖音,美妆,防晒霜,7095,46,469,1537,929,4842
2024-07-17,天猫,数码,充电宝,16135,61,2191,3165,672,3487
2024-09-19,拼多多,母婴,纸尿裤,2232,18,323,1264,47,854
2024-01-09,天猫,数码,手机壳,13372,82,1383,5016,767,2721
2024-04-13,拼多多,女装,春季连衣裙,16907,132,1969,6162,544,4014
2024-10-15,京东,男装,牛仔裤,7425,38,339,820,340,2667
2024-02-07,快手,食品,咖啡豆,924,26,375,1189,63,1637
2024-10-30,天猫,女装,春季连衣裙,6384,58,976,3288,742,1845
2024-10-28,快手,运动户外,跑步鞋,3177,31,307,666,156,1965
2024-08-10,抖音,运动户外,瑜伽垫,5478,74,1241,4159,327,1885
2024-06-24,拼多多,美妆,面霜,7102,54,925,2569,711,2866
2024-11-16,天猫,食品,茶叶礼盒,5854,29,426,988,76,1056
2024-05-29,拼多多,女装,真丝衬衫,3615,26,423,921,423,2806
2024-09-18,天猫,家居,收纳柜,12872,84,1491,4161,317,2603
2024-11-14,京东,数码,充电宝,37165,96,1160,2242,390,5307
2024-05-05,天猫,男装,羽绒服,9192,49,691,1761,412,2597
2024-03-26,天猫,女装,羽绒服,10711,112,1993,3863,443,2211
2024-12-06,京东,男装,羽绒服,8673,139,1994,3216,455,2251
2024-04-05,抖音,数码,数据线,12332,98,1709,6268,560,3975
2024-06-26,拼多多,女装,羽绒服,8436,69,818,3192,948,5574
2024-01-12,天猫,女装,阔腿裤,7074,43,625,1539,668,2026
2024-04-24,天猫,女装,羽绒服,23479,116,973,2476,1531,3140
2024-12-22,抖音,母婴,纸尿裤,4950,36,378,1115,135,1886
2024-09-24,京东,数码,蓝牙耳机,11131,168,2241,6143,396,3794
